
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
8,Shindkheda,2 Bedse Sandeep Tryambakrao,MALE,NCP,70512,382,70894,35.35%,327082,
8,Shindkheda,3 Shanabhau Rambhau Sonawane,MALE,IND,9346,12,9358,4.67%,327082,
8,Shindkheda,4 Namdeo Rohidas Yelave,MALE,VBA,2014,11,2025,1.01%,327082,
8,Shindkheda,5 NOTA,,NOTA,1815,1,1816,0.91%,327082,
8,Shindkheda,6 Narendra Dharma Patil (Salunkhe),MALE,MNS,1178,7,1185,0.59%,327082,
8,Shindkheda,7 Bhausaheb Namdeo Pawar,MALE,BSP,1000,5,1005,0.50%,327082,
8,Shindkheda,8 Salim Kasam Pinjari,MALE,IND,476,,476,0.24%,327082,
 TOTAL : ,,,,,199383,1185,200568,61.32%,,
9,Shirpur ,1 Kashiram Vechan Pawara,MALE,BJP,119582,821,120403,56.77%,320802,
9,Shirpur ,2 Dr. Jitendra Yuvraj Thakur,MALE,IND,70947,282,71229,33.58%,320802,
9,Shirpur ,3 Ranjitsingh Bharatsingh Pawara,MALE,INC,7715,39,7754,3.66%,320802,
9,Shirpur ,4 NOTA,,NOTA,3822,6,3828,1.80%,320802,
9,Shirpur ,5 Prof.Motilal Damu Sonawane,MALE,VBA,3503,31,3534,1.67%,320802,
9,Shirpur ,6 Er. Vikas Kalidas Saindane,MALE,CPI,2127,,2127,1.00%,320802,
9,Shirpur ,7 Kishor Daulat Bhil,MALE,MEP,1853,7,1860,0.88%,320802,
9,Shirpur ,8 Sukram Onkar Pawara,MALE,BSP,1356,1,1357,0.64%,320802,
 TOTAL : ,,,,,210905,1187,212092,66.11%,,
10,Chopda ,1 LATABAI CHANDRAKANT SONAWANE,FEMALE,SHS,77424,713,78137,39.18%,308441,
10,Chopda ,2 JAGDISHCHANDRA RAMESH VALVI,MALE,NCP,57002,606,57608,28.89%,308441,
10,Chopda ,3 PRABHAKARAPPA GOTU SONAWANE,MALE,IND,31932,527,32459,16.28%,308441,
10,Chopda ,4 DR. BARELA  CHANDRAKANT JAMSING,MALE,IND,16984,101,17085,8.57%,308441,
10,Chopda ,5 ADV. YAKUB  SAHEBU TADAVI,MALE,BSP,5341,28,5369,2.69%,308441,
10,Chopda ,6 MADHURI KISHOR PATIL,FEMALE,IND,4269,19,4288,2.15%,308441,
10,Chopda ,7 NOTA,,NOTA,2166,9,2175,1.09%,308441,
10,Chopda ,8 ISHWARLAL SURESH KOLI (ALIAS NILESH SURESH KOLI),MALE,IND,1527,2,1529,0.77%,308441,
10,Chopda ,9 DAGDU FATTU TADAVI,MALE,IND,760,8,768,0.39%,308441,
 TOTAL : ,,,,,197405,2013,199418,64.65%,,
11,Raver,1 CHAUDHARI SHIRISH MADHUKARRAO,MALE,INC,76497,1444,77941,38.32%,293382,
11,Raver,2 HARIBHAU MADHAV JAWALE,MALE,BJP,61931,401,62332,30.65%,293382,
11,Raver,3 ANIL CHABILDAS CHAWADARI,MALE,IND,44733,108,44841,22.05%,293382,
11,Raver,4 HAJI SAYAD MUSHTAK SAYAD KAMARUDDIN,MALE,VBA,6695,12,6707,3.30%,293382,
11,Raver,5 VIVEK DEVIDAS THAKARE (BAPU DHOBI),MALE,AIMIM,3543,2,3545,1.74%,293382,
11,Raver,6 GAYASODDIN SADARODDIN KAZI,MALE,IND,2693,,2693,1.32%,293382,
11,Raver,7 NOTA,,NOTA,1940,6,1946,0.96%,293382,
11,Raver,8 D. D. WANI (PHOTOGRAPHER),MALE,IND,1333,,1333,0.66%,293382,
11,Raver,9 SANTOSH MADHUKAR DHIVARE,MALE,BSP,1102,2,1104,0.54%,293382,
11,Raver,10 RAJARAM MADHAV SONAR,MALE,IND,493,,493,0.24%,293382,
11,Raver,11 SANJAY HAMID TADVI,MALE,IND,461,,461,0.23%,293382,
 TOTAL : ,,,,,201421,1975,203396,69.33%,,
12,Bhusawal ,1 Sanjay Waman Sawkare,MALE,BJP,81043,646,81689,54.22%,307797,
12,Bhusawal ,2 Dr. Madhu Rajesh Manawatkar,FEMALE,IND,28400,275,28675,19.03%,307797,
12,Bhusawal ,3 Jagan Deoram Sonawane,MALE,NCP,20190,55,20245,13.44%,307797,
12,Bhusawal ,4 Sunil Dada Surwade,MALE,VBA,6833,35,6868,4.56%,307797,
12,Bhusawal ,5 NOTA,,NOTA,3263,14,3277,2.18%,307797,
12,Bhusawal ,6 Gita Prashant Khachane,FEMALE,IND,2153,4,2157,1.43%,307797,
12,Bhusawal ,7 Nilesh Amrut Suralkar,MALE,MNS,2085,10,2095,1.39%,307797,
12,Bhusawal ,8 Satish Bhika Ghule,MALE,IND,1571,1,1572,1.04%,307797,
12,Bhusawal ,9 Rakesh Sahebrao Wakade,MALE,BSP,970,,970,0.64%,307797,
12,Bhusawal ,10 Yamuna Dagadu Rote,FEMALE,IND,916,1,917,0.61%,307797,
12,Bhusawal ,11 Kailash Gopal Ghule,MALE,IUML,881,1,882,0.59%,307797,
12,Bhusawal ,12 Ajay Jivram Ingle,MALE,BMUP,805,1,806,0.54%,307797,
12,Bhusawal ,13 Nilesh Raju Devghatole,MALE,IND,501,,501,0.33%,307797,
 TOTAL : ,,,,,149611,1043,150654,48.95%,,
13,Jalgaon City,1 Suresh Damu Bhole (Rajumama),MALE,BJP,112569,741,113310,62.21%,401328,
13,Jalgaon City,2 Abhishek shantaram patil,MALE,NCP,48211,253,48464,26.61%,401328,
13,Jalgaon City,3 Shafi A. Nabi Shaikh,MALE,VBA,6309,21,6330,3.48%,401328,
13,Jalgaon City,4 NOTA,,NOTA,4966,32,4998,2.74%,401328,
13,Jalgaon City,5 Adv. Jamil Abdul Rauf Deshpande,MALE,MNS,3457,24,3481,1.91%,401328,
13,Jalgaon City,6 Ashok Shridhar Shimpi,MALE,BSP,1209,5,1214,0.67%,401328,
13,Jalgaon City,7 Shivram Magar Patil,MALE,IND,1165,4,1169,0.64%,401328,
13,Jalgaon City,8 Vandana Prabhakar Patil,FEMALE,MAHKRS,909,,909,0.50%,401328,
13,Jalgaon City,9 Lalit (BANTY) Gaurishankar Sharma,MALE,IND,501,,501,0.28%,401328,
13,Jalgaon City,10 ANIL PITAMBAR WAGH (SIR),MALE,IND,416,4,420,0.23%,401328,
13,Jalgaon City,11 Prof. Dr. ASHISH S. JADHAV (HAPPY MIRROR),MALE,IND,387,3,390,0.21%,401328,
13,Jalgaon City,12 Maya Budha Ahire,FEMALE,IND,373,1,374,0.21%,401328,
13,Jalgaon City,13 Gokul Ramesh Chavan,MALE,IND,363,1,364,0.20%,401328,
13,Jalgaon City,14 Surwade Gaurav Damodar,MALE,BMUP,203,,203,0.11%,401328,
 TOTAL : ,,,,,181038,1089,182127,45.38%,,
14,Jalgaon Rural,1 GULABRAO RAGHUNATH PATIL,MALE,SHS,105261,534,105795,53.33%,315672,
14,Jalgaon Rural,2 ATTARADE CHANDRASHEKHAR PRAKASH,MALE,IND,58724,342,59066,29.78%,315672,
14,Jalgaon Rural,3 PUSHPA DNYANESHWAR MAHAJAN,FEMALE,NCP,17892,70,17962,9.06%,315672,
14,Jalgaon Rural,4 DESHMUKH JITENDRA BABURAO (RAVI BHAU),MALE,IND,5822,8,5830,2.94%,315672,
14,Jalgaon Rural,5 MUKUNDA ANANDA ROTE,MALE,MNS,2631,4,2635,1.33%,315672,
14,Jalgaon Rural,6 NOTA,,NOTA,2381,1,2382,1.20%,315672,
14,Jalgaon Rural,7 PRADIP BHIMRAO MOTIRAYA,MALE,IND,1362,,1362,0.69%,315672,
14,Jalgaon Rural,8 SAMBHAJI KADU KOLI,MALE,IND,1129,,1129,0.57%,315672,
14,Jalgaon Rural,9 SANJAY PANNALAL BAVISKAR (KOLI),MALE,BSP,903,2,905,0.46%,315672,
14,Jalgaon Rural,10 DILIP RAJARAM PATIL (KADGAONKAR),MALE,PWPI,629,,629,0.32%,315672,
14,Jalgaon Rural,11 LAXMAN GANGARAM PATIL (LUCKY TAILOR),MALE,IND,357,,357,0.18%,315672,
14,Jalgaon Rural,12 SONAWANE ISHWAR UTTAM,MALE,IND,311,,311,0.16%,315672,
 TOTAL : ,,,,,197402,961,198363,62.84%,,
15,Amalner,1 Anil Bhaidas Patil,MALE,NCP,92641,1116,93757,50.71%,293648,
15,Amalner,2 Shirish Dada Hiralal Chaudhari,MALE,BJP,84121,1042,85163,46.06%,293648,
15,Amalner,3 Shravan Dharma Vanjari,MALE,VBA,1898,11,1909,1.03%,293648,
15,Amalner,4 NOTA,,NOTA,1500,3,1503,0.81%,293648,
15,Amalner,5 Anil (Daji) Bhaidas Patil,MALE,IND,1058,3,1061,0.57%,293648,
15,Amalner,6 Ankalesh Machindra Patil,MALE,MNS,520,8,528,0.29%,293648,
15,Amalner,7 Ramkrishna Vijay Bansode (Bhaiyasaheb),MALE,BSP,493,5,498,0.27%,293648,
15,Amalner,8 Sandip Yuvraj Patil,MALE,IND,487,,487,0.26%,293648,
 TOTAL : ,,,,,182718,2188,184906,62.97%,,
16,Erandol,1 CHIMANRAO RUPCHAND PATIL,MALE,SHS,81977,673,82650,46.33%,280441,
16,Erandol,2 ANNASAHEB DR. SATISH BHASKARRAO PATIL,MALE,NCP,63995,653,64648,36.24%,280441,
16,Erandol,3 SHIROLE GOVIND EKNATH,MALE,IND,24503,84,24587,13.78%,280441,
16,Erandol,4 GAUTAM MADHUKAR PAWAR,MALE,VBA,2291,12,2303,1.29%,280441,
16,Erandol,5 NOTA,,NOTA,1992,3,1995,1.12%,280441,
16,Erandol,6 RAHUL RAGHUNATH PATIL,MALE,IND,791,2,793,0.44%,280441,
16,Erandol,7 SANJAY LAXMAN LOKHANDE,MALE,BSP,634,1,635,0.36%,280441,
16,Erandol,8 PROF. PRATAPRAO RAMDAS PAWAR,MALE,IND,506,,506,0.28%,280441,
16,Erandol,9 ABASAHEB CHIMANRAO PATIL,MALE,IND,257,1,258,0.14%,280441,
 TOTAL : ,,,,,176946,1429,178375,63.61%,,
17,Chalisgaon,1 Mangesh Ramesh Chavan,MALE,BJP,85286,1229,86515,39.69%,345660,
