
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
52,Nagpur South West,14 Ambadas Lokhande,MALE,BMUP,151,3,154,0.08%,384355,
52,Nagpur South West,15 Kantilal Haribhau Pakhide,MALE,BARESP,111,,111,0.06%,384355,
52,Nagpur South West,16 Reena Yashvir Singh,FEMALE,IND,93,,93,0.05%,384355,
52,Nagpur South West,17 Dharmashila Mahendra Bharadwaj,FEMALE,IND,93,,93,0.05%,384355,
52,Nagpur South West,18 Com. Yogesh Krushnarao Thakre,MALE,CPIM,84,,84,0.04%,384355,
52,Nagpur South West,19 Raju Singh Ganesh Chauhan,MALE,BALP,79,,79,0.04%,384355,
52,Nagpur South West,20 Dipak Laxmanrao Maske,MALE,IND,77,,77,0.04%,384355,
52,Nagpur South West,21 Arun Bhaurao Niture,MALE,RKBP,73,,73,0.04%,384355,
 TOTAL : ,,,,,191537,581,192118,49.98%,,
53,Nagpur South,1 MOHAN GOPALRAO MATE,MALE,BJP,83874,465,84339,43.62%,382493,
53,Nagpur South,2 GIRISH KRUSHNARAO PANDAV,MALE,INC,79887,439,80326,41.54%,382493,
53,Nagpur South,3 SHANKAR PUNDALIK THOOL,MALE,BSP,5649,19,5668,2.93%,382493,
53,Nagpur South,4 RAMESH KRISHNARAO PISHE,MALE,VBA,5535,48,5583,2.89%,382493,
53,Nagpur South,5 SATISH VITTHALRAO HOLE,MALE,IND,4599,32,4631,2.39%,382493,
53,Nagpur South,6 KISHOR RATANLAL KUMERIYA,MALE,IND,4405,21,4426,2.29%,382493,
53,Nagpur South,7 PRAMOD NATHUJI MANMODE,MALE,IND,4260,14,4274,2.21%,382493,
53,Nagpur South,8 NOTA,,NOTA,2341,12,2353,1.22%,382493,
53,Nagpur South,9 SHRIDHAR NARAYAN SALWE,MALE,IND,322,,322,0.17%,382493,
53,Nagpur South,10 RAHUL SURESHRAO HARDE,MALE,IND,315,,315,0.16%,382493,
53,Nagpur South,11 PRAMOD NEMINATH KAPSE,MALE,IND,239,1,240,0.12%,382493,
53,Nagpur South,12 ADV. TREESHIL VIJAY KHOBRAGADE,MALE,APoI,220,1,221,0.11%,382493,
53,Nagpur South,13 RAJASHRI INGLE,FEMALE,BMUP,183,,183,0.09%,382493,
53,Nagpur South,14 ASHISH AJAY SHRIVASTAV,MALE,PHSP,141,,141,0.07%,382493,
53,Nagpur South,15 UDAY RAMBHAUJI BORKAR,MALE,BAHUMP,119,,119,0.06%,382493,
53,Nagpur South,16 DILIP RAMSUMIRAN YADAV,MALE,DJHP,88,1,89,0.05%,382493,
53,Nagpur South,17 VITTHAL GAIKWAD,MALE,HBP,81,,81,0.04%,382493,
53,Nagpur South,18 JOHNEY STANLEE RAIBORDE,MALE,BMFP,55,,55,0.03%,382493,
 TOTAL : ,,,,,192313,1053,193366,50.55%,,
54,Nagpur East,1 KRUSHNA PANCHAM KHOPDE,MALE,BJP,103753,239,103992,52.35%,371967,
54,Nagpur East,2 PURUSHOTTAM NAGORAO HAJARE,MALE,INC,79829,146,79975,40.26%,371967,
54,Nagpur East,3 SAGAR DAMODHAR LOKHANDE,MALE,BSP,5267,17,5284,2.66%,371967,
54,Nagpur East,4 MANGALMURTI RAMKRISHNA SONKUSARE,MALE,VBA,4314,24,4338,2.18%,371967,
54,Nagpur East,5 NOTA,,NOTA,3456,4,3460,1.74%,371967,
54,Nagpur East,6 GOPALKUMAR GANESHU KASHYAP,MALE,CSM,535,,535,0.27%,371967,
54,Nagpur East,7 BABLU GEDAM,MALE,IND,487,,487,0.25%,371967,
54,Nagpur East,8 VILAS DADAJI CHARDE,MALE,IND,355,2,357,0.18%,371967,
54,Nagpur East,9 AMOL DILIP ITANKAR,MALE,IND,213,,213,0.11%,371967,
 TOTAL : ,,,,,198209,432,198641,53.40%,,
55,Nagpur central,1 VIKAS SHANKARRAO KUMBHARE,MALE,BJP,75564,128,75692,46.37%,324233,
55,Nagpur central,2 BUNTY BABA SHELKE,MALE,INC,71568,116,71684,43.91%,324233,
55,Nagpur central,3 ABDUL SHARIQUE PATEL,MALE,AIMIM,8563,2,8565,5.25%,324233,
55,Nagpur central,4 NOTA,,NOTA,2147,2,2149,1.32%,324233,
55,Nagpur central,5 DHARMENDRA MANDLIK,MALE,BSP,1967,4,1971,1.21%,324233,
55,Nagpur central,6 KAMLESH HARIHAR BHAGATKAR,MALE,VBA,1610,4,1614,0.99%,324233,
55,Nagpur central,7 SACHIN WAGHADE,MALE,IND,357,1,358,0.22%,324233,
55,Nagpur central,8 MOHAMMAD SHAKUR KHAN,MALE,MNDP,349,,349,0.21%,324233,
55,Nagpur central,9 SANJAY GENDLALJI DOKE,MALE,IND,169,,169,0.10%,324233,
55,Nagpur central,10 RAHUL GARIBLAL GOUR,MALE,IND,166,,166,0.10%,324233,
55,Nagpur central,11 NANDA MAHESH BOKADE,FEMALE,RJBP,154,1,155,0.09%,324233,
55,Nagpur central,12 KAMAL GOUR,MALE,IND,130,,130,0.08%,324233,
55,Nagpur central,13 KISHOR SHYAMSUNDAR SAMUNDRE,MALE,IND,118,,118,0.07%,324233,
55,Nagpur central,14 BHOJRAJ KASHINATH NIMJE,MALE,PSPU,118,,118,0.07%,324233,
 TOTAL : ,,,,,162980,258,163238,50.35%,,
56,Nagpur West,1 Vikas Pandurang Thakre,MALE,INC,82955,297,83252,46.65%,362539,
56,Nagpur West,2 Sudhakar Shamrao Deshmukh,MALE,BJP,76593,292,76885,43.08%,362539,
56,Nagpur West,3 Afzal Omar Farooque,MALE,BSP,8407,20,8427,4.72%,362539,
56,Nagpur West,4 NOTA,,NOTA,3702,15,3717,2.08%,362539,
56,Nagpur West,5 Singh Manoj Krupashankar,MALE,IND,2194,7,2201,1.23%,362539,
56,Nagpur West,6 Babita Raju Awasthi,FEMALE,IND,2034,16,2050,1.15%,362539,
56,Nagpur West,7 Dr. Vinod Maroti Rangari,MALE,BARESP,661,4,665,0.37%,362539,
56,Nagpur West,8 Vijay Namdeorao Khandale,MALE,IND,290,,290,0.16%,362539,
56,Nagpur West,9 Monali Prakash Bhalavi,FEMALE,IND,251,3,254,0.14%,362539,
56,Nagpur West,10 Rajiv Ranjan Singh,MALE,IND,251,,251,0.14%,362539,
56,Nagpur West,11 Nilesh Mahadev Dhoke,MALE,IND,196,1,197,0.11%,362539,
56,Nagpur West,12 Rambhau Budharam Bhalavi,MALE,IND,184,2,186,0.10%,362539,
56,Nagpur West,13 Gajbhiye Yogesh Balakdas,MALE,IND,92,2,94,0.05%,362539,
 TOTAL : ,,,,,177810,659,178469,49.23%,,
57,Nagpur North,1 DR. NITIN RAUT,MALE,INC,86577,244,86821,44.35%,384742,
57,Nagpur North,2 DR. MILIND MANE,MALE,BJP,65984,143,66127,33.78%,384742,
57,Nagpur North,3 SURESH BHAGWAN SAKHARE,MALE,BSP,23264,69,23333,11.92%,384742,
57,Nagpur North,4 DONGARE KIRTI DEEPAK,FEMALE,AIMIM,9314,4,9318,4.76%,384742,
57,Nagpur North,5 VINAY PURUSHOTTAM BHANGE,MALE,VBA,5570,29,5599,2.86%,384742,
57,Nagpur North,6 NOTA,,NOTA,1977,9,1986,1.01%,384742,
57,Nagpur North,7 ADV. KAILASH NATTHUJI WAGHMARE,MALE,IND,686,3,689,0.35%,384742,
57,Nagpur North,8 ADV. VIJAYA DILIP BAGDE,FEMALE,APoI,408,1,409,0.21%,384742,
57,Nagpur North,9 AMAN PRAKASH RAMTEKE,MALE,MNDP,313,,313,0.16%,384742,
57,Nagpur North,10 KARTIK GENDLALJI DOKE,MALE,IND,294,1,295,0.15%,384742,
57,Nagpur North,11 SHIVPRASAD KOMALSINGH GOHIYA (SHIVA BHAIYA ),MALE,IND,227,,227,0.12%,384742,
57,Nagpur North,12 ARCHANA CHANDRAKUMAR UKEY,FEMALE,RJBP,214,1,215,0.11%,384742,
57,Nagpur North,13 SHENDE SATISH WASUDEO,MALE,IND,200,,200,0.10%,384742,
57,Nagpur North,14 JITESH PARMANAND RAMTEKE,MALE,IND,125,,125,0.06%,384742,
57,Nagpur North,15 YAMINITAI BANDU DEVKAR,FEMALE,RKBP,114,,114,0.06%,384742,
 TOTAL : ,,,,,195267,504,195771,50.88%,,
58,Kamthi,1 SAWARKAR TEKCHAND SHRAWAN,MALE,BJP,117990,192,118182,45.58%,440221,
58,Kamthi,2 SURESH YADAVRAO BHOYAR,MALE,INC,106854,212,107066,41.29%,440221,
58,Kamthi,3 RAJESH BAPURAO KAKADE,MALE,VBA,10575,26,10601,4.09%,440221,
58,Kamthi,4 SHAKEEBUR RAHMAN ATIQUR RAHMAN,MALE,AIMIM,8337,8,8345,3.22%,440221,
58,Kamthi,5 PRAFUL ANANDRAO MANKE,MALE,BSP,7600,12,7612,2.94%,440221,
58,Kamthi,6 NOTA,,NOTA,2341,6,2347,0.91%,440221,
58,Kamthi,7 SHUBHAM SANJAY BAWANGADE,MALE,IND,1240,3,1243,0.48%,440221,
58,Kamthi,8 ASHOK RAJARAM RAMTEKE,MALE,APoI,1196,1,1197,0.46%,440221,
58,Kamthi,9 MANGESH SUDHAKAR DESHMUKH,MALE,IND,1137,1,1138,0.44%,440221,
58,Kamthi,10 RANGNATH VITTHAL KHARABE,MALE,IND,687,,687,0.26%,440221,
58,Kamthi,11 BHIMA VIKAS BORKAR,FEMALE,IND,330,2,332,0.13%,440221,
58,Kamthi,12 CHANDRASHEKHAR GANGAIYYA ARGULEWAR,MALE,IND,299,,299,0.12%,440221,
58,Kamthi,13 GOUTAM NAMDEO GEDAM,MALE,RJBP,262,1,263,0.10%,440221,
 TOTAL : ,,,,,258848,464,259312,58.90%,,
59,Ramtek ,1 Ashish Nandkishor Jaiswal (Vakil),MALE,IND,67268,151,67419,36.54%,278654,
59,Ramtek ,2 Dwaram Mallikarjun Reddy,MALE,BJP,42835,171,43006,23.31%,278654,
59,Ramtek ,3 Udaysingh Sohanlalji Yadav,MALE,INC,32371,126,32497,17.61%,278654,
59,Ramtek ,4 Karamore Ramesh Prabhakar,MALE,PHJSP,24635,100,24735,13.40%,278654,
59,Ramtek ,5 Sanjay Vitthalrao Satyekar,MALE,BSP,9441,23,9464,5.13%,278654,
59,Ramtek ,6 Bhagwan Bhaiyya Bhonde,MALE,VBA,2253,14,2267,1.23%,278654,
59,Ramtek ,7 NOTA,,NOTA,1614,3,1617,0.88%,278654,
59,Ramtek ,8 Satyendra (Bunty) Ratanlal Gedam,MALE,IND,1609,6,1615,0.88%,278654,
59,Ramtek ,9 Mukesh Madhukar Pendam,MALE,IND,1066,11,1077,0.58%,278654,
59,Ramtek ,10 Ishwar Chaitram Gajbe,MALE,AAAP,831,3,834,0.45%,278654,
 TOTAL : ,,,,,183923,608,184531,66.22%,,
60,Tumsar,1 KAREMORE RAJU MANIKRAO,MALE,NCP,86412,778,87190,40.55%,303652,
60,Tumsar,2 CHARAN SOVINDA WAGHMARE,MALE,IND,79089,401,79490,36.97%,303652,
60,Tumsar,3 PRADEEP MOTIRAM PADOLE,MALE,BJP,33161,296,33457,15.56%,303652,
60,Tumsar,4 PRO. DR. CHHAYA MURLIDHAR GABHANE,FEMALE,BSP,3498,17,3515,1.63%,303652,
60,Tumsar,5 DR. PANKAJ SUBHASHCHANDRA KAREMORE,MALE,IND,3146,12,3158,1.47%,303652,
60,Tumsar,6 VIJAY RAMKRUSHNA SHAHARE,MALE,VBA,2216,18,2234,1.04%,303652,
60,Tumsar,7 K. K. PANCHBUDHE,MALE,IND,1926,9,1935,0.90%,303652,
60,Tumsar,8 NOTA,,NOTA,1902,8,1910,0.89%,303652,
60,Tumsar,9 LOKHANDE RAVIDAS SHRAWAN,MALE,BMUP,1322,10,1332,0.62%,303652,
60,Tumsar,10 B. M. PARSHURAMKAR(SIR),MALE,IND,440,,440,0.20%,303652,
60,Tumsar,11 USHA PURUSHOTTAM KESALKAR,FEMALE,IND,349,,349,0.16%,303652,
 TOTAL : ,,,,,213461,1549,215010,70.81%,,
61,Bhandara ,1 NARENDRA BHOJRAJ BHONDEKAR,MALE,IND,100550,1167,101717,43.44%,371088,
61,Bhandara ,2 ARVIND MANOHAR BHALADHARE,MALE,BJP,77336,704,78040,33.33%,371088,
61,Bhandara ,3 JAIDEEP JOGENDRA KAWADE,MALE,INC,18981,124,19105,8.16%,371088,
61,Bhandara ,4 PRASHANT BALAK RAMTEKE,MALE,IND,9876,2,9878,4.22%,371088,
61,Bhandara ,5 VISARJAN (VINOD) SAJJAN CHAUSARE (Sevak),MALE,VBA,8918,45,8963,3.83%,371088,
61,Bhandara ,6 DILIP BHAJANDAS MOTGHARE,MALE,BSP,6541,25,6566,2.80%,371088,
61,Bhandara ,7 NOTA,,NOTA,2483,11,2494,1.07%,371088,
61,Bhandara ,8 SADANAND JANUJI KOCHE,MALE,IND,1631,2,1633,0.70%,371088,
61,Bhandara ,9 NITIN PUNDLIK TUMANE,MALE,IND,1606,3,1609,0.69%,371088,
61,Bhandara ,10 CHANDRASHEKHAR PARASRAM SUKHADEVE,MALE,IND,1527,1,1528,0.65%,371088,
61,Bhandara ,11 SUBHASH BISAN BHIOGADE,MALE,BMUP,731,4,735,0.31%,371088,
61,Bhandara ,12 BHAOSAGAR SURESH MAROTI,MALE,IND,580,,580,0.25%,371088,
61,Bhandara ,13 CHAVAN RANJEET BABULAL,MALE,IND,528,,528,0.23%,371088,
61,Bhandara ,14 BORKAR LAXMIKANT SATYAWAN,MALE,HJP,448,3,451,0.19%,371088,
61,Bhandara ,15 Er. AJAY RANGARI,MALE,IND,320,1,321,0.14%,371088,
 TOTAL : ,,,,,232056,2092,234148,63.10%,,
62,Sakoli,1 NANABHAU FALGUNRAO PATOLE,MALE,INC,94598,610,95208,41.63%,318804,
62,Sakoli,2 Dr. PARINAY RAMESH FUKE,MALE,BJP,87803,1165,88968,38.90%,318804,
62,Sakoli,3 SEVAKBHAU NIRDHAN WAGHAYE,MALE,VBA,34221,215,34436,15.06%,318804,
62,Sakoli,4 Dr. PRAKASH MALGAVE,MALE,BSP,3631,19,3650,1.60%,318804,
62,Sakoli,5 NOTA,,NOTA,1534,9,1543,0.67%,318804,
62,Sakoli,6 SUBHASH RAMCHANDRA BAWANKULE,MALE,IND,717,1,718,0.31%,318804,
62,Sakoli,7 ATUL NARAYAN PARSHURAMKAR,MALE,IND,645,3,648,0.28%,318804,
62,Sakoli,8 VIJAY MAHADEO KHOBRAGADE,MALE,IND,628,2,630,0.28%,318804,
62,Sakoli,9 CHOPARAM SHIVAJI TIWADE,MALE,IND,547,,547,0.24%,318804,
62,Sakoli,10 SUHAS ANIL FUNDE,MALE,IND,521,,521,0.23%,318804,
62,Sakoli,11 AGASHE URMILA PRASHANT,FEMALE,BALP,403,2,405,0.18%,318804,
62,Sakoli,12 SANDEEP SURYBHAN RAMTEKE,MALE,PPID,379,1,380,0.17%,318804,
62,Sakoli,13 GANESH ASHOK KHANDATE,MALE,GGP,337,2,339,0.15%,318804,
62,Sakoli,14 PANKAJ NANDKUMAR KHEDIKAR,MALE,JMBP,307,,307,0.13%,318804,
62,Sakoli,15 MAHESHKUMAR BHOJRAM BHADADE,MALE,IND,201,,201,0.09%,318804,
62,Sakoli,16 RAJU RAMBHAU NIRWAN,MALE,IND,199,,199,0.09%,318804,
 TOTAL : ,,,,,226671,2029,228700,71.74%,,
63,Arjuni-morgaon ,1 Chandrikapure Manohar Gowardhan,MALE,NCP,71912,488,72400,41.07%,252915,
63,Arjuni-morgaon ,2 Badole Rajkumar Sudam,MALE,BJP,71106,576,71682,40.67%,252915,
63,Arjuni-morgaon ,3 Ajay Sambhaji Lanjewar,MALE,VBA,25362,217,25579,14.51%,252915,
63,Arjuni-morgaon ,4 Shivdas Shrawan Sakhare,MALE,BSP,2412,6,2418,1.37%,252915,
63,Arjuni-morgaon ,5 NOTA,,NOTA,2027,18,2045,1.16%,252915,
63,Arjuni-morgaon ,6 Ajay Suresh Badole,MALE,IND,692,1,693,0.39%,252915,
63,Arjuni-morgaon ,7 Engr.Walde Dilipkumar Laldas,MALE,BVA,612,,612,0.35%,252915,
63,Arjuni-morgaon ,8 Pritam Benduji Sakhare,MALE,IND,511,,511,0.29%,252915,
63,Arjuni-morgaon ,9 Pramodbhau Hiraman Gajbhiye,MALE,IND,333,1,334,0.19%,252915,
 TOTAL : ,,,,,174967,1307,176274,69.70%,,
64,Tirora ,1 Vijay Bharatlal Rahangdale,MALE,BJP,75773,709,76482,45.18%,257918,
64,Tirora ,2 Bopche Ravikant Alias Guddu Khushal,MALE,NCP,50213,306,50519,29.84%,257918,
64,Tirora ,3 Bansod Dilip Waman,MALE,IND,33092,91,33183,19.60%,257918,
64,Tirora ,4 Kamal Babulal Hatwar,MALE,BSP,2506,19,2525,1.49%,257918,
64,Tirora ,5 NOTA,,NOTA,1837,4,1841,1.09%,257918,
64,Tirora ,6 Sandip Rajkumar Tilgame,MALE,VBA,1600,7,1607,0.95%,257918,
64,Tirora ,7 Vilas Gunanand Nagdeve,MALE,IND,822,,822,0.49%,257918,
64,Tirora ,8 Rajendra Damodar Bondre,MALE,IND,468,,468,0.28%,257918,
64,Tirora ,9 Vijay Balaji Tidke,MALE,IND,442,,442,0.26%,257918,
64,Tirora ,10 Narnaware Dilip Manik,MALE,IND,427,1,428,0.25%,257918,
64,Tirora ,11 Rajeshkumar Mayaram Taywade,MALE,IND,376,,376,0.22%,257918,
64,Tirora ,12 Maskare Ramvilash Shobhelal,MALE,IND,328,,328,0.19%,257918,
64,Tirora ,13 Dhananjay Dudharam Tekam,MALE,IND,278,2,280,0.17%,257918,
 TOTAL : ,,,,,168162,1139,169301,65.64%,,
65,Gondiya,1 Vinod Agrawal,MALE,IND,102260,736,102996,49.19%,322248,
65,Gondiya,2 Agrawal Gopaldas Shankarlal,MALE,BJP,75087,740,75827,36.21%,322248,
65,Gondiya,3 Amar Prabhakar Warade,MALE,INC,8863,75,8938,4.27%,322248,
65,Gondiya,4 Kamlesh Murlidhar Ukey,MALE,IND,5246,,5246,2.51%,322248,
65,Gondiya,5 Dhurwas Bhaiyalal Bhoyar,MALE,BSP,4681,23,4704,2.25%,322248,
65,Gondiya,6 Janardan Mohanji Bankar,MALE,VBA,3774,36,3810,1.82%,322248,
65,Gondiya,7 NOTA,,NOTA,1852,5,1857,0.89%,322248,
65,Gondiya,8 Laxman Pandurang Meshram,MALE,IND,1107,,1107,0.53%,322248,
65,Gondiya,9 Jitesh Radhelal Rane,MALE,IND,881,3,884,0.42%,322248,
65,Gondiya,10 Purushottam Omprakash Modi,MALE,AAAP,871,1,872,0.42%,322248,
65,Gondiya,11 Vishnu Babulal Nagrikar,MALE,IND,670,,670,0.32%,322248,
65,Gondiya,12 Chaniram Laxman Meshram,MALE,PWPI,662,7,669,0.32%,322248,
65,Gondiya,13 Bhuneshwar Singh Budhram Singh Bhardwaj,MALE,IND,566,,566,0.27%,322248,
65,Gondiya,14 Arunkumar Premlal Chauhan,MALE,IND,303,,303,0.14%,322248,
65,Gondiya,15 Pralhad Pendhar Mahant,MALE,IND,245,,245,0.12%,322248,
65,Gondiya,16 Atul Alias Kalkeejagatpatee Halmare,MALE,BALP,231,1,232,0.11%,322248,
65,Gondiya,17 Kamalesh Ratiram Bawankule,MALE,IND,189,1,190,0.09%,322248,
65,Gondiya,18 Javed Salam Pathan,MALE,IND,180,,180,0.09%,322248,
65,Gondiya,19 Gajbhiye Pramod Hiraman,MALE,IND,88,,88,0.04%,322248,
 TOTAL : ,,,,,207756,1628,209384,64.98%,,
66,Amgaon ,1 KOROTE SAHASRAM MAROTI,MALE,INC,87678,587,88265,48.16%,266988,
66,Amgaon ,2 SANJAY HANWANTRAO PURAM,MALE,BJP,80343,502,80845,44.12%,266988,
66,Amgaon ,3 RAMRATANBAPU BHARATRAJBAPU RAUT,MALE,IND,3525,21,3546,1.93%,266988,
66,Amgaon ,4 AMAR SHALIKRAM PANDHARE,MALE,BSP,3135,14,3149,1.72%,266988,
66,Amgaon ,5 SUBHASH LAXMANRAO RAMRAME,MALE,VBA,2305,55,2360,1.29%,266988,
66,Amgaon ,6 NOTA,,NOTA,1865,19,1884,1.03%,266988,
66,Amgaon ,7 GAWAD NIKESH ZADU,MALE,IND,1277,4,1281,0.70%,266988,
66,Amgaon ,8 UMESHKUMAR MULCHAND SAROTE,MALE,GGP,957,6,963,0.53%,266988,
66,Amgaon ,9 ESHWARDAS MOHANLAL KOLHARE,MALE,IND,565,1,566,0.31%,266988,
66,Amgaon ,10 URMILABAI DEVANAND TEKAM,FEMALE,IND,396,4,400,0.22%,266988,
 TOTAL : ,,,,,182046,1213,183259,68.64%,,
67,Armori ,1 Gajbe Krushna Damaji,MALE,BJP,74965,112,75077,41.42%,253349,
67,Armori ,2 Anandrao Gangaram Gedam,MALE,INC,53330,80,53410,29.46%,253349,
67,Armori ,3 Chandel Surendrasingh Bajarangsingh,MALE,IND,25007,20,25027,13.81%,253349,
67,Armori ,4 Ramesh Lalsay Korcha,MALE,VBA,7546,19,7565,4.17%,253349,
67,Armori ,5 NOTA,,NOTA,3642,8,3650,2.01%,253349,
67,Armori ,6 Balkrushna Shriram Sadmake,MALE,BSP,3446,8,3454,1.91%,253349,
67,Armori ,7 Dilip Haridas Parchake,MALE,CPI,3354,2,3356,1.85%,253349,
67,Armori ,8 Dudhakuwar Nanaji Gopala,MALE,IND,3146,3,3149,1.74%,253349,
67,Armori ,9 Baguji Kewalram Tadam,MALE,IND,2011,5,2016,1.11%,253349,
67,Armori ,10 Shree Mukesh Soguram Narote,MALE,VRA,1612,3,1615,0.89%,253349,
67,Armori ,11 Madavi Maneshwar Maroti,MALE,IND,1239,,1239,0.68%,253349,
67,Armori ,12 Kawalu Laxman Sahare,MALE,IND,1111,,1111,0.61%,253349,
67,Armori ,13 Nilesh Chhaganlal Kodape,MALE,IND,601,1,602,0.33%,253349,
 TOTAL : ,,,,,181010,261,181271,71.55%,,
68,Gadchiroli ,1 Dr. Deorao Madguji Holi,MALE,BJP,97752,161,97913,49.88%,286057,
68,Gadchiroli ,2 Dr. Chanda Nitin Kodwate,FEMALE,INC,62454,118,62572,31.88%,286057,
68,Gadchiroli ,3 Gopal Kashinath Magare,MALE,VBA,6708,27,6735,3.43%,286057,
68,Gadchiroli ,4 Akshamlal Palalal Shidam,MALE,BSP,3988,11,3999,2.04%,286057,
68,Gadchiroli ,5 Jayshree Vijay Welda,FEMALE,PWPI,3870,,3870,1.97%,286057,
68,Gadchiroli ,6 Dilip Kisan Madavi,MALE,SBBGP,3249,7,3256,1.66%,286057,
68,Gadchiroli ,7 Sagar Bharat Kumbhre,MALE,IND,3167,12,3179,1.62%,286057,
68,Gadchiroli ,8 Santosh Dashrath Soyam,MALE,IND,3170,4,3174,1.62%,286057,
68,Gadchiroli ,9 Mamita Tulshiram Hichami,FEMALE,GGP,2891,12,2903,1.48%,286057,
68,Gadchiroli ,10 NOTA,,NOTA,2263,10,2273,1.16%,286057,
68,Gadchiroli ,11 Satish Bhaiyyaji Kusaram,MALE,APoI,1428,,1428,0.73%,286057,
68,Gadchiroli ,12 Shivaji Adaku Narote,MALE,IND,1299,1,1300,0.66%,286057,
68,Gadchiroli ,13 Diwakar Pendam,MALE,IND,909,2,911,0.46%,286057,
68,Gadchiroli ,14 Changdas Tulshiram Masram,MALE,IND,791,,791,0.40%,286057,
68,Gadchiroli ,15 Santosh Namdeo Madavi,MALE,IND,773,1,774,0.39%,286057,
68,Gadchiroli ,16 Gulabrao Ganpat Madavi,MALE,IND,683,1,684,0.35%,286057,
68,Gadchiroli ,17 Kesri Bajirao Kumare,MALE,IND,536,,536,0.27%,286057,
 TOTAL : ,,,,,195931,367,196298,68.62%,,
69,Aheri ,1 Aatram Dharamraobaba Bhagwantrao,MALE,NCP,59996,17,60013,36.07%,236478,
69,Aheri ,2 Atram Ambrishrao Raje Satyavanrao,MALE,BJP,44534,21,44555,26.78%,236478,
69,Aheri ,3 Atram Deepak Dada,MALE,INC,43005,17,43022,25.86%,236478,
69,Aheri ,4 NOTA,,NOTA,5764,1,5765,3.47%,236478,
69,Aheri ,5 Madhukar Yashwant Sadmek,MALE,BSP,3622,1,3623,2.18%,236478,
69,Aheri ,6 Adv. Lalsu Soma Nogoti,MALE,VBA,2381,13,2394,1.44%,236478,
69,Aheri ,7 Kailashbhau Ganpat Koret,MALE,IND,2279,,2279,1.37%,236478,
69,Aheri ,8 Dinesh Eshwarshah Madavi,MALE,IND,2090,1,2091,1.26%,236478,
69,Aheri ,9 Atram Ajay Malayya,MALE,IND,1559,,1559,0.94%,236478,
69,Aheri ,10 Nagesh Laxman Torrem,MALE,PWPI,1057,,1057,0.64%,236478,
 TOTAL : ,,,,,166287,71,166358,70.35%,,
70,Rajura,1 SUBHASH RAMCHANDRARAO DHOTE,MALE,INC,59968,260,60228,26.79%,316018,
70,Rajura,2 ADV. WAMAN SADASHIVRAO CHATAP,MALE,STBP,57459,268,57727,25.67%,316018,
70,Rajura,3 ADVOCATE SANJAY YADAVRAO DHOTE,MALE,BJP,50900,151,51051,22.70%,316018,
70,Rajura,4 GODRU PATIL JUMNAKE,MALE,GGP,43145,161,43306,19.26%,316018,
70,Rajura,5 MAHALING NAGANAND KANTHALE,MALE,MNS,1943,5,1948,0.87%,316018,
70,Rajura,6 CHARADE SURESH JAIRAM,MALE,IND,1666,1,1667,0.74%,316018,
70,Rajura,7 NOTA,,NOTA,1560,3,1563,0.70%,316018,
70,Rajura,8 BHANUDASH PRAKASH JADHAV,MALE,BSP,1463,6,1469,0.65%,316018,
70,Rajura,9 RESHMA GANPAT CHAVAN,FEMALE,IND,1447,9,1456,0.65%,316018,
70,Rajura,10 SANTOSH GANPAT YEWALE,MALE,IND,1333,,1333,0.59%,316018,
70,Rajura,11 SALAM SHAMARAO MARU,MALE,IND,1163,,1163,0.52%,316018,
70,Rajura,12 PRAVIN MAROTI NIMGADE,MALE,APoI,1044,4,1048,0.47%,316018,
70,Rajura,13 ANIL TULSHIRAM SIDAM,MALE,IND,897,1,898,0.40%,316018,
 TOTAL : ,,,,,223988,869,224857,71.15%,,
71,Chandrapur ,1 Jorgewar Kishor Gajanan,MALE,IND,117066,504,117570,57.96%,396117,
71,Chandrapur ,2 Nanaji Sitaramji Shamkule,MALE,BJP,44672,237,44909,22.14%,396117,
71,Chandrapur ,3 Anirudha Dhonduji Wankar,MALE,VBA,15292,111,15403,7.59%,396117,
71,Chandrapur ,4 Mahesh Marotrao Mendhe,MALE,INC,14213,71,14284,7.04%,396117,
71,Chandrapur ,5 Namdeo Atmaram Gedam,MALE,PPID,3953,3,3956,1.95%,396117,
71,Chandrapur ,6 Bhikkhu S. Buddhasharan,MALE,BSP,1760,12,1772,0.87%,396117,
71,Chandrapur ,7 NOTA,,NOTA,1724,6,1730,0.85%,396117,
71,Chandrapur ,8 Baban Mahadeo Ramteke,MALE,RPI(KH),884,,884,0.44%,396117,
71,Chandrapur ,9 Mandeep Maroti Goradwar,MALE,IND,679,,679,0.33%,396117,
71,Chandrapur ,10 Tathagat Namdeo Petkar,MALE,IND,561,1,562,0.28%,396117,
71,Chandrapur ,11 Adv. Amrita Kumar Gogulwar,FEMALE,APoI,481,1,482,0.24%,396117,
71,Chandrapur ,12 Dr. Jyotidas Batau Ramteke,MALE,BARESP,323,1,324,0.16%,396117,
71,Chandrapur ,13 Sandeep Madan Petkar,MALE,IND,294,,294,0.14%,396117,
 TOTAL : ,,,,,201902,947,202849,51.21%,,
72,Ballarpur,1 Mungantiwar Sudhir Sachchidanand,MALE,BJP,85697,305,86002,42.90%,321083,
72,Ballarpur,2 Dr. Vishwas Anandrao Zade,MALE,INC,52619,143,52762,26.32%,321083,
